No	Time	DC/AC	Value	Unit	AUTO
1	10:22:59	DC	3,635	V	pass
2	10:23:02	DC	3,634	V	pass
3	10:23:05	DC	3,634	V	pass
4	10:23:07	DC	3,634	V	pass
5	10:23:08	DC	3,633	V	pass
6	10:23:09	DC	3,633	V	pass
7	10:23:10	DC	3,633	V	pass
8	10:23:11	DC	3,633	V	pass
9	10:23:12	DC	3,633	V	pass
10	10:23:13	DC	3,633	V	pass
11	10:23:14	DC	3,633	V	pass
12	10:23:15	DC	3,633	V	pass
13	10:23:16	DC	3,633	V	pass
14	10:23:17	DC	4,177	V	pass
15	10:23:18	DC	06,11	V	pass
16	10:23:19	DC	06,11	V	pass
17	10:23:20	DC	06,08	V	pass
18	10:23:21	DC	06,10	V	pass
19	10:23:22	DC	06,09	V	pass
20	10:23:23	DC	06,18	V	pass
21	10:23:24	DC	05,98	V	pass
22	10:23:25	DC	05,94	V	pass
23	10:23:26	DC	05,93	V	pass
24	10:23:27	DC	05,93	V	pass
25	10:23:28	DC	05,95	V	pass
26	10:23:29	DC	05,95	V	pass
27	10:23:30	DC	05,96	V	pass
28	10:23:31	DC	06,02	V	pass
29	10:23:32	DC	06,36	V	pass
30	10:23:35	DC	06,62	V	pass
31	10:23:36	DC	06,62	V	pass
32	10:23:37	DC	06,62	V	pass
33	10:23:38	DC	06,63	V	pass
34	10:23:39	DC	06,61	V	pass
35	10:23:40	DC	06,62	V	pass
36	10:23:41	DC	06,64	V	pass
37	10:23:42	DC	06,65	V	pass
38	10:23:43	DC	06,64	V	pass
39	10:23:44	DC	06,60	V	pass
40	10:23:45	DC	06,61	V	pass
41	10:23:46	DC	06,61	V	pass
42	10:23:47	DC	06,60	V	pass
43	10:23:48	DC	06,60	V	pass
44	10:23:49	DC	06,61	V	pass
